None
None
None
None
Duration: 288.736000061
         257822 function calls (255869 primitive calls) in 289.182 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:513(boltzmann_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:562(randint_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:625(zipf_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:661(dlaplace_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:707(skellam_gen)
        1    0.000    0.000    0.000    0.000 _discrete_distns.py:83(bernoulli_gen)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:1187(rv_continuous)
       86    0.003    0.000    0.078    0.001 _distn_infrastructure.py:1395(__init__)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:2399(rv_discrete)
       13    0.000    0.000    0.011    0.001 _distn_infrastructure.py:2573(__init__)
        2    0.000    0.000    0.000    0.000 _distn_infrastructure.py:3182(get_distribution_names)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:424(rv_frozen)
        1    0.001    0.001    0.001    0.001 _distn_infrastructure.py:5(<module>)
        1    0.000    0.000    0.000    0.000 _distn_infrastructure.py:602(rv_generic)
       99    0.000    0.000    0.002    0.000 _distn_infrastructure.py:607(__init__)
       99    0.002    0.000    0.017    0.000 _distn_infrastructure.py:615(_construct_argparser)
      198    0.000    0.000    0.000    0.000 _distn_infrastructure.py:663(<lambda>)
       99    0.001    0.000    0.064    0.001 _distn_infrastructure.py:691(_construct_doc)
      204    0.000    0.000    0.000    0.000 _distn_infrastructure.py:699(<genexpr>)
        1    0.000    0.000    0.000    0.000 _distr_params.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:26(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:49(BigEndianStructure)
        1    0.000    0.000    0.000    0.000 _expm_frechet.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:241(MatrixPowerOperator)
        1    0.000    0.000    0.000    0.000 _expm_multiply.py:316(LazyOperatorNormInfo)
        1    0.000    0.000    0.000    0.000 _find_contours.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _gabor.py:1(<module>)
